Country_Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1M_pop,Deaths_1M_pop,TotalTests,Tests_1M_pop,WHO_Region,Cases_Per_Million_Calculated,Deaths_Per_Million_Calculated,Test_Positivity_Rate,Serious_Cases_Pct,Recovery_Rate_Pct
Norway,Europe,5425471.0,9468,,256.0,,8857.0,,355.0,3.0,1745.0,47.0,472841.0,87152.0,Europe,1745.1,47.18,2.0,0.85,93.55
DRC,Africa,89802183.0,9309,,215.0,,8048.0,,1046.0,,104.0,2.0,,,Africa,103.66,2.39,,,86.45
Malaysia,Asia,32406372.0,9038,,125.0,,8713.0,,200.0,2.0,279.0,4.0,991333.0,30591.0,WesternPacific,278.9,3.86,0.91,1.0,96.4
French Guiana,South America,299385.0,8127,,47.0,,7240.0,,840.0,23.0,27146.0,157.0,41412.0,138324.0,,27145.65,156.99,19.62,2.74,89.09
Gabon,Africa,2230563.0,7787,,51.0,,5609.0,,2127.0,11.0,3491.0,23.0,85369.0,38272.0,Africa,3491.05,22.86,9.12,0.52,72.03
Tajikistan,Asia,9557468.0,7665,,62.0,,6443.0,,1160.0,,802.0,6.0,,,Europe,801.99,6.49,,,84.06
Guinea,Africa,13164905.0,7664,,49.0,,6757.0,,858.0,24.0,582.0,4.0,14407.0,1094.0,Africa,582.15,3.72,53.2,2.8,88.17
Haiti,North America,11416103.0,7544,,171.0,,4832.0,,2541.0,,661.0,15.0,18443.0,1616.0,Americas,660.82,14.98,40.9,,64.05
Finland,Europe,5541604.0,7532,,331.0,,6980.0,,221.0,,1359.0,60.0,389500.0,70287.0,Europe,1359.17,59.73,1.93,,92.67
Zambia,Africa,18430129.0,7164,,199.0,,5786.0,,1179.0,,389.0,11.0,90307.0,4900.0,Africa,388.71,10.8,7.93,,80.76
Luxembourg,Europe,626952.0,7073,,119.0,,5750.0,,1204.0,9.0,11282.0,190.0,623994.0,995282.0,Europe,11281.57,189.81,1.13,0.75,81.3
