Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,Daily_Growth_Rate,New_Cases_Pct,New_Cases_7MA,New_Deaths_7MA,New_Cases_14MA
2020-04-16,2162715,148591,529015,1485109,96712,7283,30090,6.87,24.46,28.09,184,4.681116145523512,4.47,82641.0,6758.857142857143,80983.42857142857
2020-04-17,2250439,157481,554287,1538671,87724,8890,25272,7.0,24.63,28.41,184,4.056197880904322,3.9,82650.42857142857,6990.0,81309.78571428571
2020-04-18,2324396,163952,577789,1582655,73958,6471,23502,7.05,24.86,28.38,184,3.286336576996751,3.18,82220.85714285714,7047.428571428572,80845.14285714286
2020-04-19,2404919,168522,608557,1627840,80523,4570,30768,7.01,25.3,27.69,184,3.464254799956623,3.35,79895.28571428571,6881.571428571428,81474.07142857143
2020-04-20,2478258,173965,629862,1674431,73339,5443,21305,7.02,25.42,27.62,184,3.0495413774850544,2.96,80430.28571428571,6838.142857142857,81521.71428571429
2020-04-21,2553508,181122,664043,1708343,75250,7157,34181,7.09,26.01,27.28,184,3.0364070246116315,2.95,81190.71428571429,6875.142857142857,81405.78571428571
2020-04-22,2630314,187877,693207,1749230,78994,6755,29164,7.14,26.35,27.1,184,3.007862125358529,3.0,80928.57142857143,6652.714285714285,81064.28571428571
2020-04-23,2719327,194727,721689,1802911,89013,6850,28482,7.16,26.54,26.98,184,3.384120679128033,3.27,79828.71428571429,6590.857142857143,81234.85714285714
2020-04-24,2806267,201401,771329,1833537,96974,6674,49640,7.18,27.49,26.11,184,3.1971145801884093,3.46,81150.14285714286,6274.285714285715,81900.28571428571
2020-04-25,2891199,206979,798239,1885981,84932,5578,26910,7.16,27.61,25.93,184,3.026511732490178,2.94,82717.85714285714,6146.714285714285,82469.35714285714
2020-04-26,2964146,210862,825969,1927315,72948,3883,27730,7.11,27.87,25.53,184,2.523070878206579,2.46,81635.71428571429,6048.571428571428,80765.5
2020-04-27,3032850,215511,852382,1964957,68704,4649,26413,7.11,28.1,25.28,184,2.317834546611408,2.27,80973.57142857143,5935.142857142857,80701.92857142857
2020-04-28,3108149,221974,884680,2001495,75404,6463,32298,7.14,28.46,25.09,184,2.4827802232223917,2.43,80995.57142857143,5836.0,81093.14285714286
2020-04-29,3185195,228742,925752,2030701,79558,6768,41072,7.18,29.06,24.71,184,2.4788386914526894,2.5,81076.14285714286,5837.857142857143,81002.35714285714
2020-04-30,3268876,234704,989616,2044556,83681,5962,63864,7.18,30.27,23.72,186,2.6271860906475153,2.56,80314.42857142857,5711.0,80071.57142857143
2020-05-01,3355922,239881,1026501,2089540,87046,5177,36885,7.15,30.59,23.37,186,2.6628724980696683,2.59,78896.14285714286,5497.142857142857,80023.14285714286
2020-05-02,3437608,245206,1066362,2126040,81853,5325,39861,7.13,31.02,22.99,186,2.4340851783801964,2.38,78456.28571428571,5461.0,80587.07142857143
2020-05-03,3515244,248659,1097577,2169008,77636,3453,31215,7.07,31.22,22.66,186,2.2584308623903704,2.21,79126.0,5399.571428571428,80380.85714285714
2020-05-04,3591321,252787,1130526,2208008,76078,4128,32949,7.04,31.48,22.36,186,2.164202541843463,2.12,80179.42857142857,5325.142857142857,80576.5
2020-05-05,3671310,258658,1166155,2246497,79989,5871,35629,7.05,31.76,22.18,186,2.22728628267983,2.18,80834.42857142857,5240.571428571428,80915.0
2020-05-06,3761332,265327,1210894,2285111,90022,6669,44739,7.05,32.19,21.91,186,2.4520402799000918,2.39,82329.28571428571,5226.428571428572,81702.71428571429
2020-05-07,3850418,270736,1249311,2330371,90669,5409,38417,7.03,32.45,21.67,186,2.3684694677311047,2.35,83327.57142857143,5147.428571428572,81821.0
2020-05-08,3941935,276304,1284849,2380782,92997,5568,35538,7.01,32.59,21.5,186,2.3768068817463517,2.36,84177.71428571429,5203.285714285715,81536.92857142857
